sku,categories,product_websites
MH01-L-Gray,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-L-Orange,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-XL-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-XL-Gray,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-XL-Orange,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH02-XS-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-XS-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-XS-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-S-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-S-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-S-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-M-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-M-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-M-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-L-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-L-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-L-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-XL-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-XL-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02-XL-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH02,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH03-XS-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-XS-Blue,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-XS-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-S-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-S-Blue,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-S-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-M-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-M-Blue,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-M-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-L-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-L-Blue,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-L-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-XL-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-XL-Blue,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03-XL-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH03,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-XS-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-XS-White,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-XS-Yellow,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-S-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-S-White,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-S-Yellow,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-M-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-M-White,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-M-Yellow,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-L-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-L-White,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-L-Yellow,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-XL-Green,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-XL-White,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04-XL-Yellow,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH04,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH05-XS-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-XS-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-XS-White,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-S-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-S-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-S-White,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-M-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-M-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-M-White,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-L-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-L-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-L-White,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-XL-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-XL-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05-XL-White,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH05,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-XS-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-XS-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-XS-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-S-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-S-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-S-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-M-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-M-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-M-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-L-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-L-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-L-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-XL-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-XL-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06-XL-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH06,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-XS-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-XS-Gray,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-XS-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-S-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-S-Gray,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-S-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-M-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-M-Gray,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-M-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-L-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-L-Gray,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-L-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-XL-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-XL-Gray,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07-XL-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH07,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-XS-Brown,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-XS-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-XS-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-S-Brown,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-S-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-S-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-M-Brown,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-M-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-M-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-L-Brown,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-L-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-L-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-XL-Brown,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-XL-Purple,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08-XL-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH08,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-XS-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-XS-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-XS-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-S-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-S-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-S-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-M-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-M-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-M-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-L-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-L-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-L-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-XL-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-XL-Green,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09-XL-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH09,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-XS-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-XS-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-XS-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-S-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-S-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-S-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-M-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-M-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-M-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-L-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-L-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-L-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-XL-Black,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-XL-Blue,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10-XL-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH10,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH11-XS-Orange,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH11-XS-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH11-XS-White,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH11-S-Orange,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH11-S-Red,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
MH11-S-White,Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,"luma_gbp,luma_euro"
